label,feature,coefficient
taste,taste,139.11321142343613
taste,tastes,80.8448705264037
taste,tasted,66.11019803787968
taste,the taste,25.96081835246359
taste,it tastes,19.1317250646878
taste,taste and,16.14903227647564
taste,tastes great,15.25886037748243
taste,taste of,14.341088725200795
taste,tastes like,13.598250271534653
taste,they taste,12.042853038292884
taste,taste like,11.994039299044799
taste,taste is,11.535323803050924
taste,ever tasted,11.4478763979055
taste,tastes good,11.192065526569923
taste,and taste,10.80431423603911
taste,taste great,10.533814349926448
taste,and tastes,10.532788945096248
taste,great taste,10.485226256099603
taste,taste the,10.235840019284401
taste,it tasted,9.664841271901047
